millis,ts,type,dpIn,dpOut,o2,millis_diff
35366.0,19:27:10.342 , Vol+O2,0.0,0.0,20.66,37.0
35403.0,19:27:10.342 , Vol+O2,0.0,0.0,20.66,37.0
35440.0,19:27:10.343 , Vol+O2,0.0,0.0,20.66,37.0
35477.0,19:27:10.343 , Vol+O2,0.0,0.0,20.66,37.0
35514.0,19:27:10.383 , Vol+O2,0.0,0.0,20.66,37.0
35551.0,19:27:10.383 , Vol+O2,0.0,0.0,20.66,37.0
35588.0,19:27:10.383 , Vol+O2,0.0,0.0,20.66,37.0
35625.0,19:27:10.385 , Vol+O2,0.0,0.0,20.66,37.0
35662.0,19:27:10.385 , Vol+O2,0.0,0.0,20.66,37.0
35699.0,19:27:10.387 , Vol+O2,0.0,0.0,20.66,37.0
35736.0,19:27:10.387 , Vol+O2,0.0,0.0,20.66,37.0
35774.0,19:27:10.390 , Vol+O2,0.0,0.0,20.66,38.0
35809.0,19:27:10.390 , Vol+O2,0.0,0.0,20.66,35.0
35846.0,19:27:10.392 , Vol+O2,0.0,0.0,20.66,37.0
35883.0,19:27:10.392 , Vol+O2,0.0,0.0,20.66,37.0
35920.0,19:27:10.394 , Vol+O2,0.0,0.0,20.66,37.0
35957.0,19:27:10.394 , Vol+O2,0.0,0.0,20.66,37.0
35994.0,19:27:10.397 , Vol+O2,0.0,0.0,20.66,37.0
36031.0,19:27:10.397 , Vol+O2,0.0,0.0,20.66,37.0
36068.0,19:27:10.401 , Vol+O2,0.0,0.0,20.66,37.0
36105.0,19:27:10.401 , Vol+O2,0.0,0.0,20.66,37.0
36142.0,19:27:10.403 , Vol+O2,0.0,0.0,20.66,37.0
36179.0,19:27:10.403 , Vol+O2,0.0,0.0,20.66,37.0
36216.0,19:27:10.411 , Vol+O2,0.0,0.0,20.66,37.0
36253.0,19:27:10.411 , Vol+O2,0.0,0.0,20.69,37.0
36290.0,19:27:10.411 , Vol+O2,0.0,0.0,20.69,37.0
36327.0,19:27:10.411 , Vol+O2,0.0,0.0,20.69,37.0
36363.0,19:27:10.414 , Vol+O2,0.0,0.0,20.69,36.0
36400.0,19:27:10.414 , Vol+O2,0.0,0.0,20.69,37.0
36437.0,19:27:10.414 , Vol+O2,0.0,0.0,20.66,37.0
36474.0,19:27:10.457 , Vol+O2,0.0,0.0,20.66,37.0
36511.0,19:27:10.457 , Vol+O2,0.0,0.0,20.66,37.0
36548.0,19:27:10.457 , Vol+O2,0.0,0.0,20.66,37.0
36585.0,19:27:10.460 , Vol+O2,0.0,0.0,20.66,37.0
36622.0,19:27:10.460 , Vol+O2,0.0,0.0,20.66,37.0
36659.0,19:27:10.463 , Vol+O2,0.0,0.0,20.66,37.0
36696.0,19:27:10.463 , Vol+O2,0.0,0.0,20.66,37.0
36733.0,19:27:10.466 , Vol+O2,0.0,0.0,20.66,37.0
36770.0,19:27:10.466 , Vol+O2,0.0,0.0,20.66,37.0
36807.0,19:27:10.468 , Vol+O2,0.0,0.0,20.66,37.0
